num_col_1,num_col_2,num_col_3,num_col_4,num_col_5,num_col_6,num_col_7,num_col_8,cat_col_1,cat_col_2,cat_col_3,cat_col_4,cat_col_5,cat_col_6,text_col_1,text_col_2,text_col_3,text_col_4,datetime_col_1,datetime_col_2
0.09873330385915935,786.5822399552147,917.794459824079,784.4321807182373,336.3959870582574,920.4823151050699,352.8241026573385,785.7259579687169,Male,Yes,High,Yellow,TypeB,Group1,Not satisfied with the product.,Not satisfied with the product.,Loved the experience!,Price is too high for quality.,2021-01-22,2020-02-02
913.061298057009,47.00674636934335,294.08354877062834,811.9748956120877,30.671206261173843,726.2820044762371,77.7105307558526,424.43246496610806,Female,Yes,Medium,Green,TypeC,Group1,Not satisfied with the product.,Price is too high for quality.,Great service and support.,Customer support resolved my issue.,2022-08-04,2020-01-18
300.8446526532166,511.19455415157154,70.44692226174075,688.3310574311982,799.6132884137618,770.1991719330927,409.42969984729496,818.5648127767986,Male,No,Medium,Red,TypeC,Group1,Customer support resolved my issue.,"Average quality, okay for price.",Will not buy again.,Delivery was fast and reliable.,2022-07-09,2022-01-28
696.4261526878277,792.6816448447631,633.459012324486,866.0116447905185,650.3595549477003,340.4255321178051,452.684645539186,386.3997652209352,Female,No,Medium,Red,TypeA,Group2,"Average quality, okay for price.",Will not buy again.,Delivery was fast and reliable.,Loved the experience!,2022-04-09,2020-11-08
353.78120125727537,243.47730438716772,575.2326478318511,80.67071850088978,143.12348213419165,509.5773700830217,810.6723609995755,155.29080873364734,Female,Yes,Low,Yellow,TypeA,Group2,Customer support resolved my issue.,Will not buy again.,"Average quality, okay for price.",Will not buy again.,2021-11-15,2020-07-22
686.9051314922635,392.98857868137765,666.845072615481,424.6680839275941,830.7368711751367,140.30380635385893,433.5330845443421,282.5714602044592,Female,No,High,Blue,TypeB,Group1,Great service and support.,Will not buy again.,"Average quality, okay for price.",Highly recommended.,2020-05-02,2022-06-01
614.1425496915865,392.5679131896427,240.4916307292727,329.67162106847223,25.782235534766315,709.6871227665406,787.0359582605521,402.74852329528005,Male,Yes,Low,Green,TypeA,Group1,Great service and support.,Not satisfied with the product.,Will not buy again.,Great service and support.,2022-07-11,2022-07-01
519.5617105512002,391.6324623733814,900.4856225191743,843.6853389211999,407.52688929324955,994.7192654635619,270.7173907954422,944.9505122995957,Female,Yes,Low,Red,TypeC,Group2,Price is too high for quality.,Loved the experience!,Will not buy again.,Not satisfied with the product.,2021-10-03,2021-09-17
629.0580588531507,119.46086120973358,375.91535015235075,535.1656751439999,159.94691576691432,325.9143726023111,530.6879813363206,274.8467752607888,Male,No,Medium,Blue,TypeA,Group1,Great service and support.,Delivery was fast and reliable.,Great service and support.,Price is too high for quality.,2020-10-18,2022-08-26
36.613203912308485,154.0131243863018,804.0194169897386,-41.67788388216752,194.1366699227477,906.026305832368,276.7036551322774,604.7865510984545,Female,Yes,Low,Yellow,TypeC,Group2,"Average quality, okay for price.",Loved the experience!,Will not buy again.,Price is too high for quality.,2022-01-04,2021-02-04
-49.89497209505928,808.8400462968839,334.820898421769,563.585811632252,706.6735019419519,893.055624321009,344.133100743451,704.7075385596153,Male,No,High,Red,TypeC,Group1,Price is too high for quality.,Loved the experience!,Great service and support.,Price is too high for quality.,2020-07-01,2022-04-17
241.687663035413,603.5933199111157,838.6376360393639,407.136232813813,448.2767304356176,107.37764643558648,262.54769691480243,505.4575430318845,Female,No,Medium,Red,TypeC,Group2,Highly recommended.,Customer support resolved my issue.,Loved the experience!,Customer support resolved my issue.,2022-01-30,2022-05-11
270.0460585687738,647.0647772472112,401.7174791352354,99.49732964191902,229.45574706988927,708.9668035763823,369.24280046895115,349.2073415601521,Female,Yes,High,Green,TypeA,Group1,Will not buy again.,Customer support resolved my issue.,Delivery was fast and reliable.,"Average quality, okay for price.",2020-02-08,2022-09-25
826.4969916016554,171.07328187197862,128.53245623434708,778.2884005332199,466.6745805694792,93.6256180990095,334.7047000790501,21.022418360452654,Male,No,High,Green,TypeA,Group2,Not satisfied with the product.,Price is too high for quality.,Will not buy again.,Price is too high for quality.,2021-01-27,2022-06-23
601.5114258329721,353.3816400899888,49.116772892242935,595.9554172146551,776.2162156363338,238.7875667673781,949.5200311028202,495.12460475896086,Female,No,Medium,Red,TypeC,Group2,Loved the experience!,"Average quality, okay for price.",Highly recommended.,Loved the experience!,2021-07-07,2021-04-20
10.247562349957374,876.0984184495054,236.54486361664692,253.5805710151897,200.91575950999174,906.3067327855349,268.58165424791673,787.4566997605729,Male,Yes,High,Green,TypeC,Group1,Delivery was fast and reliable.,Not satisfied with the product.,Loved the experience!,Delivery was fast and reliable.,2020-03-27,2022-05-10
403.17630999780147,189.46692062246646,684.4552490709898,322.0727462848387,896.7582695495465,194.97354523702157,979.934073207158,947.6187617476694,Male,Yes,Medium,Green,TypeA,Group1,Price is too high for quality.,Loved the experience!,Not satisfied with the product.,Loved the experience!,2020-04-07,2021-07-07
755.8727975719268,144.9524816901777,64.38801766802462,868.4259513334564,513.4006176082597,205.04877785153346,447.8764999002474,83.81940151959171,Female,Yes,Medium,Blue,TypeA,Group2,Price is too high for quality.,Highly recommended.,Customer support resolved my issue.,"Average quality, okay for price.",2020-09-21,2022-02-07
-21.81412641077722,368.74001078166623,501.70141943324876,65.7021743145058,396.7935696218134,45.092664671051345,117.42927331592219,614.7898410138581,Male,Yes,Low,Red,TypeC,Group1,Great service and support.,Will not buy again.,Will not buy again.,Price is too high for quality.,2020-07-03,2020-04-03
995.3631790939145,404.38600813940866,44.9178852235561,20.655939759711444,394.943381130494,337.2746621668764,404.79462427054705,404.8911236124315,Male,No,High,Yellow,TypeB,Group2,Great service and support.,Highly recommended.,Great service and support.,"Average quality, okay for price.",2022-08-24,2021-05-05
744.1939756278948,454.76176883479894,105.29997701725591,362.73030549665276,871.4170043574703,853.5042252455321,621.2360088150417,94.82676045151456,Male,No,High,Green,TypeC,Group1,Customer support resolved my issue.,"Average quality, okay for price.",Will not buy again.,Loved the experience!,2020-01-24,2021-11-29
978.700774818722,421.3872850224293,89.18914090159385,562.3662384043854,322.9741179934076,470.2647008515593,952.4738048253544,-34.374992463988136,Male,Yes,High,Yellow,TypeA,Group2,"Average quality, okay for price.",Price is too high for quality.,Delivery was fast and reliable.,Not satisfied with the product.,2020-04-25,2020-11-09
233.19885543339944,384.96183365568606,641.1204543614616,377.584793494892,131.83155938145265,299.2718955516498,448.72129564974955,527.0854639444769,Female,No,High,Red,TypeA,Group2,Will not buy again.,Delivery was fast and reliable.,Great service and support.,Not satisfied with the product.,2022-07-13,2021-06-23
265.55676533476566,708.5289832487414,730.4316521164636,3.1546169629455063,-23.583631571493513,1020.8618833834554,582.3885820765854,34.817341688507945,Male,Yes,Low,Yellow,TypeA,Group1,Highly recommended.,Price is too high for quality.,"Average quality, okay for price.",Price is too high for quality.,2020-09-28,2021-09-06
699.6894933740152,519.1493449473154,247.42585020513297,155.929381003564,903.659807428032,620.4991349301251,804.6357524829654,456.0155336926193,Male,Yes,Low,Yellow,TypeC,Group1,Will not buy again.,Great service and support.,Highly recommended.,Delivery was fast and reliable.,2020-10-16,2021-03-03
124.85584442421865,123.77496438059633,174.01525491147893,803.1358579930302,276.3676568986647,592.7723545880416,612.1878738622936,810.2026755113043,Female,Yes,Medium,Yellow,TypeA,Group1,Delivery was fast and reliable.,Delivery was fast and reliable.,Great service and support.,Great service and support.,2022-09-11,2021-09-27
507.4838054208685,615.5947673626733,190.85762425790116,819.5412159162212,216.07433561153084,724.8085899138338,284.76188275873204,604.428111075913,Female,No,High,Blue,TypeA,Group2,Highly recommended.,Highly recommended.,Delivery was fast and reliable.,Great service and support.,2020-07-27,2020-04-09
512.8459295393981,702.602833506377,987.5329509518165,928.7708049904134,968.7105565868299,950.7446311502448,517.1985848632542,730.2093089780473,Female,Yes,High,Red,TypeA,Group2,"Average quality, okay for price.",Great service and support.,Will not buy again.,Will not buy again.,2022-08-21,2022-06-26
1013.0906148335058,894.6736195224996,863.3177178178197,-21.18231241502341,764.0850936718682,-13.473881194538407,237.48821080643881,79.91445667297509,Female,Yes,Medium,Red,TypeB,Group1,Price is too high for quality.,Great service and support.,Delivery was fast and reliable.,Customer support resolved my issue.,2022-04-13,2022-01-26
275.19662786009167,677.0849671950625,850.5349804867345,767.9427255869163,326.3858319253709,166.67929078473682,581.5598878301838,818.0260943510033,Male,Yes,Medium,Red,TypeC,Group2,Delivery was fast and reliable.,Price is too high for quality.,Great service and support.,Loved the experience!,2020-10-16,2021-05-22
71.03933344779378,1.548948972525892,232.39471448987007,299.2445272023713,88.84250153983139,114.41101071334998,362.68258785265175,401.34687493164955,Male,No,High,Yellow,TypeA,Group2,Not satisfied with the product.,Price is too high for quality.,Delivery was fast and reliable.,Will not buy again.,2021-03-04,2022-01-28
712.8729607182704,497.3078613183433,992.26011558868,351.49040106925213,1014.5320721717844,462.3616514873875,843.9158465742179,744.7423145604689,Female,No,Medium,Blue,TypeB,Group1,Not satisfied with the product.,Not satisfied with the product.,Customer support resolved my issue.,Great service and support.,2020-08-12,2020-09-08
146.86065290479678,453.8378556386123,10.634496053841488,130.30796623048533,234.53292881371334,660.2293272473382,-6.091224695140461,245.78023444341628,Male,No,Medium,Red,TypeA,Group2,Loved the experience!,Great service and support.,Customer support resolved my issue.,Highly recommended.,2022-02-14,2021-12-08
85.66260380899888,281.4620930697127,129.9003239643793,682.6619008144618,907.6940573569042,765.1369638525919,739.3013918159494,842.0880345109418,Male,No,High,Green,TypeC,Group1,Not satisfied with the product.,Great service and support.,Loved the experience!,Not satisfied with the product.,2021-12-15,2022-07-06
-10.54352613918551,292.65356239284506,585.2094426310196,725.4671497531755,661.5968913676568,453.73489210425555,401.6403264644354,206.96093479634033,Male,Yes,High,Blue,TypeA,Group1,"Average quality, okay for price.",Customer support resolved my issue.,Price is too high for quality.,Great service and support.,2021-12-28,2021-07-11
563.1074056951591,882.9643279319293,738.8177687608448,784.1416916711976,662.3236239336916,537.775211829755,250.23969347960875,687.2173771890183,Female,No,High,Yellow,TypeA,Group1,Price is too high for quality.,Highly recommended.,Customer support resolved my issue.,Delivery was fast and reliable.,2020-07-18,2020-03-03
511.3753001171057,785.7334670650968,723.0202912577995,153.87538856317147,-9.642518178745007,533.1799165915811,673.0940829753221,548.4761179345306,Male,Yes,High,Blue,TypeC,Group2,"Average quality, okay for price.",Great service and support.,Great service and support.,Not satisfied with the product.,2022-05-28,2020-07-05
1004.5776544323338,703.7184905932427,806.3105011478449,639.3822236912633,580.8825535248473,756.2098410495587,791.2202589624329,448.46680263533716,Female,Yes,Medium,Blue,TypeA,Group2,Great service and support.,Great service and support.,"Average quality, okay for price.","Average quality, okay for price.",2022-05-22,2020-10-25
315.919298470288,438.3785530282896,638.1122207792663,54.29391398115029,698.6948897322526,573.8010057876431,112.36967929605126,653.1838960151061,Female,Yes,Low,Yellow,TypeA,Group1,Loved the experience!,Not satisfied with the product.,Loved the experience!,Loved the experience!,2022-06-18,2021-08-19
-25.08065785736767,995.4721083881269,840.2805564686072,369.2983026381691,778.9292299688797,533.6543043130536,734.3978591546648,656.0329286167939,Female,Yes,Medium,Red,TypeA,Group1,Highly recommended.,"Average quality, okay for price.",Will not buy again.,Great service and support.,2021-02-16,2021-03-12
411.9885597024028,521.3056269826565,775.8258521167395,983.1810748776044,495.0675874543147,671.5124575494389,273.8677510062796,664.7003260610504,Female,No,High,Red,TypeC,Group2,Delivery was fast and reliable.,Price is too high for quality.,Not satisfied with the product.,Customer support resolved my issue.,2022-02-07,2022-03-14
639.2460975721277,716.6556223687911,430.4990533680199,593.2007651050891,20.92137467480136,428.8808196858252,380.65003982373577,530.4925007601876,Female,Yes,Low,Blue,TypeA,Group1,Highly recommended.,Highly recommended.,Delivery was fast and reliable.,Not satisfied with the product.,2020-06-26,2020-07-27
274.78840723396905,225.65604208247643,743.7109957427659,788.2375951823415,214.7374806252396,88.47036801807697,141.76848886680182,133.83600511027143,Male,No,Medium,Red,TypeA,Group2,Not satisfied with the product.,Delivery was fast and reliable.,Not satisfied with the product.,Customer support resolved my issue.,2020-01-29,2020-09-25
9.415104054577931,5.613181633745825,26.450062987315377,898.9662247073281,488.7471612472376,691.0842304576568,73.60836262677661,959.9605493891987,Male,Yes,Low,Red,TypeC,Group2,"Average quality, okay for price.",Great service and support.,Will not buy again.,Highly recommended.,2020-11-04,2021-03-26
601.7648126158024,180.72772229871214,260.5705969343585,423.19651928567527,371.35501409961216,147.0892004593406,799.6045697250732,675.3044324021273,Female,Yes,High,Green,TypeC,Group2,Price is too high for quality.,Great service and support.,Customer support resolved my issue.,Delivery was fast and reliable.,2020-10-12,2020-09-14
438.74599954682554,472.41734184746554,169.60065142568556,502.3333860890583,519.5094273734179,801.5411255617,160.15414119636054,778.2032873952569,Female,No,Low,Blue,TypeB,Group2,"Average quality, okay for price.",Highly recommended.,Customer support resolved my issue.,Not satisfied with the product.,2022-05-22,2021-02-18
698.9108380591529,502.77694445058705,889.0338455997587,195.91089056538993,310.9310487974506,524.2095156226246,139.72630217078384,524.226883982992,Male,No,Medium,Blue,TypeB,Group2,Not satisfied with the product.,Delivery was fast and reliable.,Not satisfied with the product.,Highly recommended.,2020-10-24,2021-08-28
1039.0797150555836,-14.478277690722734,907.5422758243486,332.1823826608214,667.3987828271929,410.6310308082807,360.05926987084035,453.64573203835954,Female,No,Low,Blue,TypeB,Group2,Will not buy again.,Not satisfied with the product.,Will not buy again.,Will not buy again.,2020-08-17,2022-08-19
914.5554174167607,554.6221321662017,837.9512588329504,292.3474530396252,54.129058409125946,97.84705775988463,273.34800748223046,146.96413228926613,Female,Yes,Medium,Blue,TypeB,Group1,Loved the experience!,Will not buy again.,Highly recommended.,Great service and support.,2020-10-07,2021-02-09
