user_id,account_age_days,avg_posts_per_day,max_posts_in_hour,followers_count,following_count,follower_following_ratio,avg_likes_per_post,avg_comments_per_post,sudden_follower_gain,sessions_per_day,avg_session_duration_min,avg_caption_len_chars,avg_emoji_per_post,avg_hashtags_per_post,avg_mentions_per_post,profile_completion,posting_pattern_score,content_diversity_score,suspicious_links_shared,is_verified,account_type,device_type_primary,profile_picture_present,bio_present,time_pattern_type,content_type_dominant,is_bot
U06252,1367,1.7270467357751667,9,2858,2233,2.2579782654690685,94.24429069797583,11.284732031186389,37,1.1026495817856339,19.87469774004021,123,4.593113537638273,1.9452306760289488,1.8792057053024502,56.0,0.98,0.91,1,No,Creator,iOS,Yes,Yes,Regular,Text,0
U04684,2124,1.6541938544321944,1,4102,1435,1.2384204349274952,45.10809854737423,3.1915800003452577,49,2.3932316631871107,17.06421677580007,137,1.1319174809603216,3.00912863414218,4.824894812948689,83.68,0.9,0.48,1,No,Creator,Android,Yes,Yes,Regular,Text,0
U01731,2131,3.210984994376492,8,1589,819,2.8790495987304836,41.939727146656004,15.435048823096531,41,1.1107448319692725,25.230932427645275,143,1.2648032329060577,1.3197787086604236,0.511513879650517,58.58,0.11,0.74,0,No,Creator,Android,Yes,Yes,Bursty,Image,0
U04742,1347,3.777737837453296,3,2528,2726,0.27315990704889037,23.41462212924864,19.52784449478252,33,4.096399206301076,9.644795016633546,39,4.164745948074186,2.429162266305098,1.0355902293124082,74.23,0.37,0.1,0,No,Brand,Android,Yes,Yes,Nocturnal,Image,0
U04521,1685,2.7853256441186662,8,2064,404,2.695332467352755,56.16244417338664,16.471078747544606,40,1.489776840265991,14.50069213931202,109,2.941024112593063,0.24301892529325964,2.0625709684311766,8.63,0.13,0.86,1,No,Personal,Android,Yes,Yes,Diurnal,Image,0
U06340,1531,2.2660334819082855,6,3826,1996,2.3103429826584003,91.34859288422165,19.06657206617589,2,4.424394534074466,17.032686255642375,34,1.0512246290742577,1.6460382718320132,1.9612706936400048,34.18,0.96,0.72,0,No,Personal,Android,Yes,Yes,Bursty,Image,0
U00576,1371,0.5104553275936863,3,2283,1246,2.2190304892038744,67.58376871580876,17.115253558702296,49,2.501817533765254,12.315217555363141,78,3.5595515788375556,2.930460785616205,3.9389096679684545,11.78,0.76,0.06,1,No,Creator,iOS,No,Yes,Nocturnal,Mixed,0
U05202,1411,4.882449951696379,10,3083,2039,0.9562608375343747,74.16501067102678,5.2702989735737145,38,3.487711437110986,16.236095465929736,111,2.1107344357642024,3.525080525798223,4.087613783146707,87.05,0.96,0.57,0,No,Creator,Android,Yes,Yes,Bursty,Video,0
U06363,1022,3.5401994067835627,6,3471,151,0.18742779499756657,90.24154689050357,3.628943944989309,45,4.363179947904605,22.450095261799863,63,1.262522029811891,1.4126087950963835,3.9792225016893923,35.47,0.45,0.78,0,No,Personal,Android,Yes,Yes,Diurnal,Text,0
U00439,1650,2.5880019268839183,2,1216,815,1.1264720727199715,67.70637754682669,1.3970341497317618,34,4.725237365702043,23.610600380936717,47,1.6943457741598267,3.635569753114506,3.6219571899955567,13.13,0.37,0.31,1,No,Creator,Android,Yes,Yes,Regular,Text,0
