User_ID,Account_Creation_Date,Posts_Per_Hour,Followers_Spike,Following_Count,Followers_Count,Avg_Time_Between_Posts,Anomaly_Score,Cluster_ID,Is_Bot,Avg_Likes_Per_Post,Avg_Comments_Per_Post,Verified_Status,Bio_Length,Profile_Pic_Exists,Has_External_Link,Retweet_Ratio,Hashtag_Usage_Rate,Mentions_Per_Post,Device_Type,Account_Status,Language,Geo_Tag_Usage,Avg_Post_Length,Sentiment_Score,Time_Of_Day_Activity,Response_Rate
bot_0,2016-05-02,26,28,1915,173,4.486578466972227,0.9501864500325856,9,1,2,0,0,23,0,0,0.5786344584477152,7.472796421062801,14.361081583583557,desktop,active,en,0,23,0.10924526610595808,night,0.040802089325624985
bot_1,2020-04-21,27,72,102,1774,1.7082089715317255,0.7066636259556337,10,1,1,0,0,17,1,1,0.8996916849371029,13.41174556678715,6.502644695999757,desktop,active,pt,1,50,-0.32910446224885637,night,0.0805510652709086
bot_2,2017-12-14,24,303,692,868,2.847161751387771,0.8701188930322191,2,1,3,0,0,15,0,1,0.6317058486798035,14.999893848262147,6.186900575490469,api,suspended,pt,0,24,-0.4702074572215046,night,0.058303709989560984
bot_3,2024-07-24,24,147,790,381,3.306017838280334,0.7956340545638259,18,1,4,1,0,20,0,0,0.5620684753695463,12.887670516718998,7.537620572264215,api,active,de,0,59,0.43081052293110067,night,0.021022427906685917
bot_4,2014-01-15,30,38,1483,1341,4.0599130810983315,0.9644082159772145,1,1,1,1,0,29,1,0,0.7352490699712284,8.305217292768216,5.795430889706578,desktop,suspended,it,0,48,0.15542033715107695,night,0.09154012972164481
bot_5,2023-06-06,25,471,948,654,1.6259275094937748,0.849809880412249,11,1,0,0,0,22,1,0,0.7524254319064062,9.647638294279703,9.017952850590483,api,active,de,1,51,0.3597758175292777,night,0.09033184755538831
bot_6,2023-03-08,34,151,2076,238,3.7271586533218493,0.940746411781266,5,1,1,1,0,10,0,0,0.7954999309265822,9.52628396745082,7.280338115525136,api,active,de,0,45,0.1922954016525651,night,0.02820449465567844
bot_7,2014-03-22,39,32,705,1656,1.029473964689624,0.977146103455346,4,1,4,0,0,10,1,1,0.7356330178483119,14.197357513128715,9.782528627252294,desktop,active,fr,0,45,-0.3214746594168302,night,0.01881980599910097
bot_8,2019-08-23,32,239,828,193,3.6690582554999733,0.800304865439104,1,1,0,0,0,18,0,1,0.7109762352483462,11.006828216428659,10.701816267762432,api,active,fr,0,29,-0.029545941590890745,afternoon,0.048532608493398834
bot_9,2014-03-21,24,286,2169,1201,4.636829896509004,0.9641025569714254,4,1,2,0,0,14,0,0,0.8188210865601553,12.151972089285437,10.13673173008312,api,deleted,en,0,22,-0.07613031343813448,afternoon,0.05604466248229045
bot_10,2023-08-10,31,264,2568,1597,0.8826182075895141,0.9178836784223703,1,1,4,0,0,16,0,0,0.8630294048289595,8.145671327751682,13.863357768185269,desktop,active,pt,0,58,0.28679650501922993,night,0.08030731867847744
bot_11,2017-11-27,27,277,2094,879,1.0251626036686254,0.732452319132389,15,1,2,1,0,24,1,1,0.7048488219759436,5.450757199461,13.92901884817359,mobile,active,es,0,39,-0.30047135255670987,afternoon,0.0013785005755631908
bot_12,2021-06-20,26,473,1249,774,3.0075237496881333,0.731175984631388,19,1,4,0,0,15,1,1,0.9115398883445904,7.206680564169359,10.942484565706884,mobile,active,en,0,51,-0.19253036388550204,night,0.06515022877001929
bot_13,2021-05-24,28,159,1528,1435,0.7088019005434356,0.9452036172441729,2,1,0,0,0,29,1,1,0.6822476652534823,6.473552398176723,10.277722988805035,mobile,active,de,0,33,0.12860395172509376,night,9.859178022550986e-05
bot_14,2023-10-06,26,401,1778,1645,1.3432572918002703,0.8404948268814878,14,1,4,1,0,10,0,0,0.9481514421487778,9.527935284443776,8.87492928684382,desktop,active,it,0,38,-0.1998643270779079,morning,0.021985260838115563
bot_15,2012-06-07,26,266,2415,898,1.3558646137309207,0.8485450812910248,3,1,4,1,0,15,1,0,0.5955214797688528,10.578112878486348,11.909974494621991,api,active,fr,0,41,0.41404964902713426,afternoon,0.07869357837926123
bot_16,2021-04-22,22,251,2762,1869,2.6656135822908618,0.9673739616144024,4,1,1,0,0,20,1,1,0.7920300275017853,6.825961888421007,7.146272379947697,api,active,fr,0,27,0.24212749073585682,night,0.0875851836745919
bot_17,2013-07-10,39,440,2715,881,1.6181916318971024,0.9711410010545997,1,1,3,0,0,24,1,0,0.9595764684687442,9.029629489757859,7.688836708987338,mobile,active,fr,0,23,-0.19430308095265425,afternoon,0.03162524927424997
bot_18,2012-10-20,42,75,838,656,2.639852850063189,0.7338117954059915,11,1,1,0,0,27,1,0,0.6090866826594794,10.198938474459643,10.512961429607515,mobile,active,pt,0,54,0.3455434093935993,afternoon,0.02025990887399222
bot_19,2017-09-05,27,107,1229,121,2.8452910472574002,0.8120944968833677,18,1,3,0,0,19,0,0,0.992756035318529,7.8384252153623,11.038256922913963,desktop,active,es,0,27,-0.11677224032639777,night,0.007578366090809797
bot_20,2022-12-01,27,273,755,671,3.7878997439162947,0.9685680307807445,16,1,3,0,0,19,0,0,0.9032459473143781,9.152260466859508,12.180316254092396,desktop,active,en,0,44,0.09852924323332046,night,0.04719904910443662
bot_21,2023-03-15,23,71,2692,995,4.756964876333794,0.9459563045031891,15,1,0,1,0,27,1,0,0.7024812476415008,5.144739632141131,14.598354600729472,mobile,suspended,de,0,35,-0.24059025845871573,night,0.02555713286728738
bot_22,2021-03-22,29,266,2318,1355,2.7668624736482963,0.916302646310763,17,1,4,1,0,17,1,0,0.7450183851600365,9.002173022653642,5.4879390887682,api,active,it,0,43,-0.22507372706757134,night,0.027171688595800603
bot_23,2018-08-26,23,271,2452,1497,2.0975240547151417,0.7305901611318516,2,1,2,1,0,15,0,1,0.5452557374987141,11.337395908338575,11.377458779033029,mobile,active,es,0,49,0.19609300212580671,night,0.08214571809649666
